ObjectName,objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
2MASXJ03225058+4101397,1237661059574661957,50.710845685495,41.0278399172547,3629,301,1,72,GALAXY,19.0986,17.21024,16.33185,15.87989,15.5562
UGC02686,1237661083199472526,50.2556036510522,40.7977786843694,3634,301,5,110,GALAXY,16.95088,14.88065,13.89551,13.40986,13.05093
2MASXJ03155331+4119242,1237661121850901466,48.9721335388567,41.3233065334498,3643,301,5,60,GALAXY,18.84789,17.01526,16.07151,15.61266,15.27619
2MASXJ03163444+4102506,1237670458048054248,49.1435614970491,41.0474722328389,5817,301,3,243,GALAXY,17.11771,15.61485,14.88968,14.56095,14.28845
2MASXJ03174508+4210522,1237661055818335115,49.437703120115,42.1810083421939,3628,301,2,99,GALAXY,17.65338,15.63421,14.66451,14.15368,13.76271
UGC02664,1237670959484240218,49.8753252736857,40.7422778396187,5934,301,1,224,GALAXY,24.4295,20.96344,20.28426,20.01364,20.2694
UGC02698,1237661083199537710,50.5120808948145,40.8639246271485,3634,301,5,111,GALAXY,16.13099,14.05356,12.99477,12.4647,12.14388
2MASXJ03235754+4131183,1237661060111467225,50.9899069389105,41.5218425723484,3629,301,2,71,GALAXY,18.15503,16.49984,15.51726,15.17146,15.16235
2MASXJ03155773+4112572,1237661121850966116,48.9905810046475,41.2159730173904,3643,301,5,61,GALAXY,17.17887,15.65578,14.3037,13.80468,13.76094
2MASSJ03220520+4210089,1237661060648075675,50.522662643402,42.1701699644625,3629,301,3,67,GALAXY,18.13243,16.45594,15.50736,15.09521,14.95249
2MASXJ03235662+4138173,1237661060111467604,50.985720568035,41.6383223170086,3629,301,2,71,GALAXY,18.84209,16.81793,15.83258,15.35447,15.01279
