ObjectName,objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
2MASXJ01234321+3324592,1237678806920266074,20.9298832545052,33.4163396585354,7761,301,2,131,GALAXY,17.5608,15.83904,15.03971,14.64917,14.36392
SDSSJ012423.89+331852.4,1237666214078317355,21.0995795059994,33.3145802778177,4829,301,2,164,GALAXY,23.96819,22.45874,20.60232,19.59188,19.01135
2MASXJ01230483+3322062,1237678806920200589,20.7700421049497,33.3684883177292,7761,301,2,130,GALAXY,23.44858,19.84663,18.26474,17.67317,17.32187
2MASSJ01233189+3305142,1237678806383395188,20.8829008154661,33.0873741384627,7761,301,1,131,GALAXY,22.1804,19.84145,18.28069,17.7036,17.28383
WHLJ012331.9+330515,1237678806383395188,20.8829008154661,33.0873741384627,7761,301,1,131,GALAXY,22.1804,19.84145,18.28069,17.7036,17.28383
WHLJ012309.3+332335,1237678806920200659,20.7888560044261,33.3930078925855,7761,301,2,130,GALAXY,21.3756,19.38552,17.70118,17.11935,16.72512
[WH2015]0093,1237678806920200659,20.7888560044261,33.3930078925855,7761,301,2,130,GALAXY,21.3756,19.38552,17.70118,17.11935,16.72512
RMJ012309.3+332334.8,1237678806920200659,20.7888560044261,33.3930078925855,7761,301,2,130,GALAXY,21.3756,19.38552,17.70118,17.11935,16.72512
2MASXJ01230930+3323342,1237678806920200659,20.7888560044261,33.3930078925855,7761,301,2,130,GALAXY,21.3756,19.38552,17.70118,17.11935,16.72512
NGC0494,1237666214615121949,20.7306946876905,33.1739180077024,4829,301,3,163,GALAXY,15.26691,13.44119,12.54036,12.07358,11.72401
IC1688,1237678806383394934,20.8668758638701,33.08306814871,7761,301,1,131,GALAXY,17.80856,15.94335,15.10639,14.67874,14.35918
SDSSJ012249.84+331314.4,1237666214615122908,20.7076613676077,33.2206809797885,4829,301,3,163,GALAXY,23.19382,21.71939,20.20428,19.28345,18.86841
2MASSJ01232381+3325317,1237678806920265750,20.8491062471534,33.4254688736037,7761,301,2,131,GALAXY,22.42165,19.98654,18.39518,17.83923,17.48184
SDSSJ012310.41+332413.5,1237678806920200386,20.7933871171272,33.4037696128643,7761,301,2,130,GALAXY,22.7534,21.4601,19.83191,18.95072,18.37071
NGC0501,1237678806920265748,20.8433503373436,33.4329472666362,7761,301,2,131,GALAXY,16.92335,14.98788,14.09864,13.64655,13.31378
SDSSJ012247.30+331111.6,1237666214615122819,20.6971134567039,33.1865768455455,4829,301,3,163,GALAXY,23.59376,21.74256,20.35668,19.36483,18.86667
SDSSJ012319.07+332622.9,1237678806920266712,20.8294927787588,33.4396957107916,7761,301,2,131,GALAXY,22.13427,22.48576,20.9216,20.03627,19.74904
IC1689,1237678806383460363,20.9494758372762,33.0552940409504,7761,301,1,132,GALAXY,16.32584,14.54454,13.68254,13.2562,13.03539
